11010203,"Sun, Moon, and Mars in conjunction"
11010204,"Sun, Moon, and Mercury in conjunction"
11010205,"Sun, Moon, and Jupiter in conjunction"
11010206,"Sun, Moon, and Venus in conjunction"
11010207,"Sun, Moon, and Saturn in conjunction"
11010208,"Sun, Moon, and Rahu in conjunction"
11010209,"Sun, Moon, and Ketu in conjunction"
11010304,"Sun, Mars, and Mercury in conjunction"
11010305,"Sun, Mars, and Jupiter in conjunction"
11010306,"Sun, Mars, and Venus in conjunction"
11010307,"Sun, Mars, and Saturn in conjunction"
11010308,"Sun, Mars, and Rahu in conjunction"
11010309,"Sun, Mars, and Ketu in conjunction"
11010405,"Sun, Mercury, and Jupiter in conjunction"
11010406,"Sun, Mercury, and Venus in conjunction"
11010407,"Sun, Mercury, and Saturn in conjunction"
11010408,"Sun, Mercury, and Rahu in conjunction"
11010409,"Sun, Mercury, and Ketu in conjunction"
11010506,"Sun, Jupiter, and Venus in conjunction"
11010507,"Sun, Jupiter, and Saturn in conjunction"
11010508,"Sun, Jupiter, and Rahu in conjunction"
11010509,"Sun, Jupiter, and Ketu in conjunction"
11010607,"Sun, Venus, and Saturn in conjunction"
11010608,"Sun, Venus, and Rahu in conjunction"
11010609,"Sun, Venus, and Ketu in conjunction"
11010708,"Sun, Saturn, and Rahu in conjunction"
11010709,"Sun, Saturn, and Ketu in conjunction"
11010809,"Sun, Rahu, and Ketu in conjunction"
11020304,"Moon, Mars, and Mercury in conjunction"
11020305,"Moon, Mars, and Jupiter in conjunction"
11020306,"Moon, Mars, and Venus in conjunction"
11020307,"Moon, Mars, and Saturn in conjunction"
11020308,"Moon, Mars, and Rahu in conjunction"
11020309,"Moon, Mars, and Ketu in conjunction"
11020405,"Moon, Mercury, and Jupiter in conjunction"
11020406,"Moon, Mercury, and Venus in conjunction"
11020407,"Moon, Mercury, and Saturn in conjunction"
11020408,"Moon, Mercury, and Rahu in conjunction"
11020409,"Moon, Mercury, and Ketu in conjunction"
11020506,"Moon, Jupiter, and Venus in conjunction"
11020507,"Moon, Jupiter, and Saturn in conjunction"
11020508,"Moon, Jupiter, and Rahu in conjunction"
11020509,"Moon, Jupiter, and Ketu in conjunction"
11020607,"Moon, Venus, and Saturn in conjunction"
11020608,"Moon, Venus, and Rahu in conjunction"
11020609,"Moon, Venus, and Ketu in conjunction"
11020708,"Moon, Saturn, and Rahu in conjunction"
11020709,"Moon, Saturn, and Ketu in conjunction"
11020809,"Moon, Rahu, and Ketu in conjunction"
11030405,"Mars, Mercury, and Jupiter in conjunction"
11030406,"Mars, Mercury, and Venus in conjunction"
11030407,"Mars, Mercury, and Saturn in conjunction"
11030408,"Mars, Mercury, and Rahu in conjunction"
11030409,"Mars, Mercury, and Ketu in conjunction"
11030506,"Mars, Jupiter, and Venus in conjunction"
11030507,"Mars, Jupiter, and Saturn in conjunction"
11030508,"Mars, Jupiter, and Rahu in conjunction"
11030509,"Mars, Jupiter, and Ketu in conjunction"
11030607,"Mars, Venus, and Saturn in conjunction"
11030608,"Mars, Venus, and Rahu in conjunction"
11030609,"Mars, Venus, and Ketu in conjunction"
11030708,"Mars, Saturn, and Rahu in conjunction"
11030709,"Mars, Saturn, and Ketu in conjunction"
11030809,"Mars, Rahu, and Ketu in conjunction"
11040506,"Mercury, Jupiter, and Venus in conjunction"
11040507,"Mercury, Jupiter, and Saturn in conjunction"
11040508,"Mercury, Jupiter, and Rahu in conjunction"
11040509,"Mercury, Jupiter, and Ketu in conjunction"
11040607,"Mercury, Venus, and Saturn in conjunction"
11040608,"Mercury, Venus, and Rahu in conjunction"
11040609,"Mercury, Venus, and Ketu in conjunction"
11040708,"Mercury, Saturn, and Rahu in conjunction"
11040709,"Mercury, Saturn, and Ketu in conjunction"
11040809,"Mercury, Rahu, and Ketu in conjunction"
11050607,"Jupiter, Venus, and Saturn in conjunction"
11050608,"Jupiter, Venus, and Rahu in conjunction"
11050609,"Jupiter, Venus, and Ketu in conjunction"
11050708,"Jupiter, Saturn, and Rahu in conjunction"
11050709,"Jupiter, Saturn, and Ketu in conjunction"
11050809,"Jupiter, Rahu, and Ketu in conjunction"
11060708,"Venus, Saturn, and Rahu in conjunction"
11060709,"Venus, Saturn, and Ketu in conjunction"
11060809,"Venus, Rahu, and Ketu in conjunction"
11070809,"Saturn, Rahu, and Ketu in conjunction"
